#Release 10.1 - par K.31 (nt)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Wed Nov 18 15:13:05 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       TOP_map.ncd
#OUTPUT FILE:      TOP_pad.csv
#PART TYPE:        xc2v1000
#SPEED GRADE:      -4
#PACKAGE:          fg456
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AA22,,,VCCAUX,,,,,,,,3.3,,,,,
AB1,,,GND,,,,,,,,,,,,,
AB2,,,M0,,,,,,,,,,,,,
AB3,,,M2,,,,,,,,,,,,,
AB4,vpd<6>,IOB,IO_L02N_5/D6,TRISTATE,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AB5,di<2>,IOB,IO_L04N_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,YES,NONE,
AB6,dif_ren<0>,IOB,IO_L19N_5,OUTPUT,LVTTL*,5,8,FAST,NONE**,,,LOCATED,,NO,NONE,
AB7,,DIFFS,IO_L22N_5,UNUSED,,5,,,,,,,,,,
AB8,dio_e<14>,IOB,IO_L51N_5/VREF_5,TRISTATE,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AB9,dif_ef<1>,IOB,IO_L54N_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,YES,NONE,
AB10,dio_e<12>,IOB,IO_L93N_5,TRISTATE,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AB11,,,VCCAUX,,,,,,,,3.3,,,,,
AB12,,DIFFM,IO_L96P_4/GCLK0P,UNUSED,,4,,,,,,,,,,
AB13,dif_oen<0>,IOB,IO_L93P_4,OUTPUT,LVTTL*,4,8,FAST,NONE**,,,LOCATED,,NO,NONE,
AB14,dio_f<11>,IOB,IO_L54P_4,TRISTATE,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AB15,dof_wen<2>,IOB,IO_L49P_4,OUTPUT,LVTTL*,4,8,FAST,NONE**,,,LOCATED,,NO,NONE,
AB16,dof_af<0>,IOB,IO_L22P_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,YES,NONE,
AB17,,DIFFM,IO_L06P_4,UNUSED,,4,,,,,,,,,,
AB18,,DIFFM,IO_L04P_4,UNUSED,,4,,,,,,,,,,
AB19,vbusy,IOB,IO_L01N_4/DOUT,TRISTATE,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AB20,,,DONE,,,,,,,,,,,,,
AB21,,,PWRDWN_B,,,,,,,,,,,,,
AB22,,,GND,,,,,,,,,,,,,
B1,,,VCCAUX,,,,,,,,3.3,,,,,
B2,,,GND,,,,,,,,,,,,,
B3,,,HSWAP_EN,,,,,,,,,,,,,
B4,clki2,IOB,IO_L01N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
B5,dio_c<0>,IOB,IO_L03N_0/VRP_0,TRISTATE,LVTTL*,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
B6,,DIFFS,IO_L05N_0,UNUSED,,0,,,,,,,,,,
B7,,DIFFS,IO_L22N_0,UNUSED,,0,,,,,,,,,,
B8,,DIFFS,IO_L49N_0,UNUSED,,0,,,,,,,,,,
B9,,DIFFS,IO_L54N_0,UNUSED,,0,,,,,,,,,,
B10,,DIFFS,IO_L93N_0,UNUSED,,0,,,,,,,,,,
B11,,DIFFS,IO_L96N_0/GCLK5P,UNUSED,,0,,,,,,,,,,
B12,,DIFFM,IO_L94P_1/VREF_1,UNUSED,,1,,,,,,,,,,
B13,dio_c<12>,IOB,IO_L93P_1,TRISTATE,LVTTL*,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
B14,dio_c<8>,IOB,IO_L54P_1,TRISTATE,LVTTL*,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
B15,,DIFFM,IO_L51P_1,UNUSED,,1,,,,,,,,,,
B16,,DIFFM,IO_L22P_1,UNUSED,,1,,,,,,,,,,
B17,dio_c<10>,IOB,IO_L05P_1,TRISTATE,LVTTL*,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
B18,dio_f<5>,IOB,IO_L03P_1/VRN_1,TRISTATE,LVTTL*,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
B19,,DIFFM,IO_L01P_1,UNUSED,,1,,,,,,,,,,
B20,,,TMS,,,,,,,,,,,,,
B21,,,GND,,,,,,,,,,,,,
B22,,,VCCAUX,,,,,,,,3.3,,,,,
C1,,DIFFM,IO_L02P_7/VRN_7,UNUSED,,7,,,,,,,,,,
C2,,DIFFS,IO_L02N_7/VRP_7,UNUSED,,7,,,,,,,,,,
C3,,,GND,,,,,,,,,,,,,
C4,,DIFFS,IO_L02N_0,UNUSED,,0,,,,,,,,,,
C5,,DIFFM,IO_L02P_0,UNUSED,,0,,,,,,,,,,
C6,dio_f<1>,IOB,IO_L04P_0,TRISTATE,LVTTL*,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
C7,dio_a<1>,IOB,IO_L21P_0/VREF_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
C8,,DIFFM,IO_L24P_0,UNUSED,,0,,,,,,,,,,
C9,,DIFFM,IO_L52P_0,UNUSED,,0,,,,,,,,,,
C10,dio_c<3>,IOB,IO_L92P_0,TRISTATE,LVTTL*,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
C11,,DIFFM,IO_L95P_0/GCLK6S,UNUSED,,0,,,,,,,,,,
C12,,DIFFS,IO_L94N_1,UNUSED,,1,,,,,,,,,,
C13,,DIFFS,IO_L92N_1,UNUSED,,1,,,,,,,,,,
C14,,DIFFS,IO_L52N_1,UNUSED,,1,,,,,,,,,,
C15,,DIFFS,IO_L49N_1,UNUSED,,1,,,,,,,,,,
C16,dio_c<13>,IOB,IO_L21N_1/VREF_1,TRISTATE,LVTTL*,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
C17,dio_f<2>,IOB,IO_L04N_1,TRISTATE,LVTTL*,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
C18,r2out_a,IOB,IO_L02N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
C19,,,TCK,,,,,,,,,,,,,
C20,,,GND,,,,,,,,,,,,,
C21,,DIFFS,IO_L01N_2,UNUSED,,2,,,,,,,,,,
C22,t2in_a,IOB,IO_L01P_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D1,,DIFFM,IO_L03P_7/VREF_7,UNUSED,,7,,,,,,,,,,
D2,f0,IOB,IO_L03N_7,OUTPUT,LVTTL*,7,24,FAST,NONE**,,,LOCATED,,NO,NONE,
D3,,,TDI,,,,,,,,,,,,,
D4,,,GND,,,,,,,,,,,,,
D5,,,DXN,,,,,,,,,,,,,
D6,dio_f<0>,IOB,IO_L04N_0/VREF_0,TRISTATE,LVTTL*,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D7,dio_a<0>,IOB,IO_L21N_0,TRISTATE,LVTTL*,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D8,dio_a<2>,IOB,IO_L24N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
D9,,DIFFS,IO_L52N_0,UNUSED,,0,,,,,,,,,,
D10,dio_c<2>,IOB,IO_L92N_0,TRISTATE,LVTTL*,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D11,,DIFFS,IO_L95N_0/GCLK7P,UNUSED,,0,,,,,,,,,,
D12,,DIFFM,IO_L95P_1/GCLK0S,UNUSED,,1,,,,,,,,,,
D13,,DIFFM,IO_L92P_1,UNUSED,,1,,,,,,,,,,
D14,,DIFFM,IO_L52P_1,UNUSED,,1,,,,,,,,,,
D15,,DIFFM,IO_L49P_1,UNUSED,,1,,,,,,,,,,
D16,dio_c<14>,IOB,IO_L21P_1,TRISTATE,LVTTL*,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D17,dio_f<3>,IOB,IO_L04P_1/VREF_1,TRISTATE,LVTTL*,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D18,,DIFFM,IO_L02P_1,UNUSED,,1,,,,,,,,,,
D19,,,GND,,,,,,,,,,,,,
D20,,,TDO,,,,,,,,,,,,,
D21,dio_d<8>,IOB,IO_L03N_2,TRISTATE,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D22,dio_d<9>,IOB,IO_L03P_2/VREF_2,TRISTATE,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E1,f1,IOB,IO_L06P_7,OUTPUT,LVTTL*,7,24,FAST,NONE**,,,LOCATED,,NO,NONE,
E2,umi<0>,IOB,IO_L06N_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
E3,clkout,IOB,IO_L04P_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E4,dio_f<14>,IOB,IO_L04N_7,TRISTATE,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E5,,DIFFM,IO_L01P_7,UNUSED,,7,,,,,,,,,,
E6,,DIFFS,IO_L01N_7,UNUSED,,7,,,,,,,,,,
E7,dio_c<6>,IOB,IO_L06N_0,TRISTATE,LVTTL*,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E8,,DIFFM,IO_L06P_0,UNUSED,,0,,,,,,,,,,
E9,,DIFFS,IO_L51N_0,UNUSED,,0,,,,,,,,,,
E10,osc3_pin,IOB,IO_L91N_0/VREF_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
E11,dio_c<4>,IOB,IO_L94N_0/VREF_0,TRISTATE,LVTTL*,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E12,,DIFFS,IO_L95N_1/GCLK1P,UNUSED,,1,,,,,,,,,,
E13,,DIFFS,IO_L91N_1,UNUSED,,1,,,,,,,,,,
E14,,DIFFM,IO_L91P_1/VREF_1,UNUSED,,1,,,,,,,,,,
E15,reset_pin,IOB,IO_L24P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
E16,config,IOB,IO_L06N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
E17,,DIFFM,IO_L06P_1,UNUSED,,1,,,,,,,,,,
E18,,DIFFS,IO_L02N_2/VRP_2,UNUSED,,2,,,,,,,,,,
E19,,DIFFS,IO_L04N_2,UNUSED,,2,,,,,,,,,,
E20,t1in_a,IOB,IO_L04P_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E21,rs485_232_a,IOB,IO_L06N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E22,dttl,IOB,IO_L06P_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F1,umi<3>,IOB,IO_L22P_7,TRISTATE,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F2,umi<2>,IOB,IO_L22N_7,TRISTATE,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F3,clkin1,IOB,IO_L21P_7/VREF_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
F4,clkin0,IOB,IO_L21N_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
F5,dio_d<0>,IOB,IO_L19N_7,TRISTATE,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F6,,,VCCINT,,,,,,,,1.5,,,,,
F7,,,VCCO_0,,,0,,,,,3.30,,,,,
F8,,,VCCO_0,,,0,,,,,3.30,,,,,
F9,,DIFFM,IO_L51P_0/VREF_0,UNUSED,,0,,,,,,,,,,
F10,,DIFFM,IO_L91P_0,UNUSED,,0,,,,,,,,,,
F11,dio_c<5>,IOB,IO_L94P_0,TRISTATE,LVTTL*,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F12,addr_flagsel,IOB,IO_L96N_1/GCLK3P,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
F13,,DIFFM,IO_L96P_1/GCLK2S,UNUSED,,1,,,,,,,,,,
F14,,DIFFS,IO_L24N_1,UNUSED,,1,,,,,,,,,,
F15,,,VCCO_1,,,1,,,,,3.30,,,,,
F16,,,VCCO_1,,,1,,,,,3.30,,,,,
F17,,,VCCINT,,,,,,,,1.5,,,,,
F18,hdplx_a,IOB,IO_L02P_2/VRN_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F19,qttl,IOB,IO_L19N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
F20,fast_a,IOB,IO_L19P_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F21,dio_d<10>,IOB,IO_L21N_2,TRISTATE,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F22,dio_d<11>,IOB,IO_L21P_2/VREF_2,TRISTATE,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G1,booten,IOB,IO_L43P_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G2,,DIFFS,IO_L43N_7,UNUSED,,7,,,,,,,,,,
G3,dio_d<3>,IOB,IO_L24P_7,TRISTATE,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G4,dio_d<2>,IOB,IO_L24N_7,TRISTATE,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G5,dio_d<1>,IOB,IO_L19P_7,TRISTATE,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G6,,,VCCO_7,,,7,,,,,3.30,,,,,
G7,,,VCCINT,,,,,,,,1.5,,,,,
G8,,,VCCINT,,,,,,,,1.5,,,,,
G9,,,VCCO_0,,,0,,,,,3.30,,,,,
G10,,,VCCO_0,,,0,,,,,3.30,,,,,
G11,,,VCCO_0,,,0,,,,,3.30,,,,,
G12,,,VCCO_1,,,1,,,,,3.30,,,,,
G13,,,VCCO_1,,,1,,,,,3.30,,,,,
G14,,,VCCO_1,,,1,,,,,3.30,,,,,
G15,,,VCCINT,,,,,,,,1.5,,,,,
G16,,,VCCINT,,,,,,,,1.5,,,,,
G17,,,VCCO_2,,,2,,,,,3.30,,,,,
G18,do<30>,IOB,IO_L22N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
G19,dio_d<14>,IOB,IO_L24N_2,TRISTATE,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G20,do<31>,IOB,IO_L24P_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
G21,do<29>,IOB,IO_L43N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
G22,,DIFFM,IO_L43P_2,UNUSED,,2,,,,,,,,,,
H1,dio_d<5>,IOB,IO_L48P_7,TRISTATE,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
H2,dio_d<4>,IOB,IO_L48N_7,TRISTATE,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
H3,led<0>,IOB,IO_L46P_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
H4,udpres,IOB,IO_L46N_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
H5,umi<1>,IOB,IO_L45N_7,TRISTATE,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
H6,,,VCCO_7,,,7,,,,,3.30,,,,,
H7,,,VCCINT,,,,,,,,1.5,,,,,
H16,,,VCCINT,,,,,,,,1.5,,,,,
H17,,,VCCO_2,,,2,,,,,3.30,,,,,
H18,do<28>,IOB,IO_L22P_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
H19,do<27>,IOB,IO_L45N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
H20,,DIFFM,IO_L45P_2/VREF_2,UNUSED,,2,,,,,,,,,,
H21,r1out_b,IOB,IO_L46N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
H22,,DIFFM,IO_L46P_2,UNUSED,,2,,,,,,,,,,
J1,led<1>,IOB,IO_L51P_7/VREF_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J2,led<4>,IOB,IO_L51N_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J3,dio_d<7>,IOB,IO_L49P_7,TRISTATE,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J4,dio_d<6>,IOB,IO_L49N_7,TRISTATE,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J5,led<3>,IOB,IO_L52N_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J6,,DIFFM,IO_L45P_7/VREF_7,UNUSED,,7,,,,,,,,,,
J7,,,VCCO_7,,,7,,,,,3.30,,,,,
J9,,,GND,,,,,,,,,,,,,
J10,,,GND,,,,,,,,,,,,,
J11,,,GND,,,,,,,,,,,,,
J12,,,GND,,,,,,,,,,,,,
J13,,,GND,,,,,,,,,,,,,
J14,,,GND,,,,,,,,,,,,,
J16,,,VCCO_2,,,2,,,,,3.30,,,,,
J17,,DIFFS,IO_L48N_2,UNUSED,,2,,,,,,,,,,
J18,do<25>,IOB,IO_L48P_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
J19,dio_d<12>,IOB,IO_L49N_2,TRISTATE,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J20,dio_d<13>,IOB,IO_L49P_2,TRISTATE,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J21,do<24>,IOB,IO_L51N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
J22,do<26>,IOB,IO_L51P_2/VREF_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
K1,cid<1>,IOB,IO_L93P_7/VREF_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
K2,mid<0>,IOB,IO_L93N_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
K3,cid<2>,IOB,IO_L91P_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
K4,cid<3>,IOB,IO_L91N_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
K5,cid<0>,IOB,IO_L52P_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
K6,,DIFFS,IO_L54N_7,UNUSED,,7,,,,,,,,,,
K7,,,VCCO_7,,,7,,,,,3.30,,,,,
K9,,,GND,,,,,,,,,,,,,
K10,,,GND,,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,,
K12,,,GND,,,,,,,,,,,,,
K13,,,GND,,,,,,,,,,,,,
K14,,,GND,,,,,,,,,,,,,
K16,,,VCCO_2,,,2,,,,,3.30,,,,,
K17,,DIFFS,IO_L52N_2,UNUSED,,2,,,,,,,,,,
K18,r2out_b,IOB,IO_L52P_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
K19,t1in_b,IOB,IO_L54N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K20,,DIFFM,IO_L54P_2,UNUSED,,2,,,,,,,,,,
K21,do<22>,IOB,IO_L91N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
K22,do<23>,IOB,IO_L91P_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
L1,,,VCCAUX,,,,,,,,3.3,,,,,
L2,,DIFFM,IO_L96P_7,UNUSED,,7,,,,,,,,,,
L3,mid<3>,IOB,IO_L96N_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
L4,mid<2>,IOB,IO_L94P_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
L5,led<2>,IOB,IO_L94N_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L6,mid<1>,IOB,IO_L54P_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
L7,,,VCCO_7,,,7,,,,,3.30,,,,,
L9,,,GND,,,,,,,,,,,,,
L10,,,GND,,,,,,,,,,,,,
L11,,,GND,,,,,,,,,,,,,
L12,,,GND,,,,,,,,,,,,,
L13,,,GND,,,,,,,,,,,,,
L14,,,GND,,,,,,,,,,,,,
L16,,,VCCO_2,,,2,,,,,3.30,,,,,
L17,do<19>,IOB,IO_L93N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
L18,t2in_b,IOB,IO_L93P_2/VREF_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L19,,DIFFS,IO_L94N_2,UNUSED,,2,,,,,,,,,,
L20,do<18>,IOB,IO_L94P_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
L21,do<20>,IOB,IO_L96N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
L22,do<21>,IOB,IO_L96P_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
M1,di<31>,IOB,IO_L96N_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
M2,,DIFFM,IO_L96P_6,UNUSED,,6,,,,,,,,,,
M3,dio_e<0>,IOB,IO_L94N_6,TRISTATE,LVTTL*,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
M4,dio_e<1>,IOB,IO_L94P_6,TRISTATE,LVTTL*,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
M5,di<28>,IOB,IO_L93N_6/VREF_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
M6,di<30>,IOB,IO_L93P_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
